Tile	Base	Mean	sample
1101	1	0.0378903531362198	RMNISTHS_30xdownsample
1101	2	0.019921428346965087	RMNISTHS_30xdownsample
1101	3	0.009353857057217141	RMNISTHS_30xdownsample
1101	4	0.015804090419131	RMNISTHS_30xdownsample
1101	5	0.03372037713193876	RMNISTHS_30xdownsample
1101	6	0.04364290448043917	RMNISTHS_30xdownsample
1101	7	0.06058739070110519	RMNISTHS_30xdownsample
1101	8	0.061302600703623256	RMNISTHS_30xdownsample
1101	9	0.15358620716345683	RMNISTHS_30xdownsample
1101	10-14	0.06975137968588996	RMNISTHS_30xdownsample
1101	15-19	0.02533110242904968	RMNISTHS_30xdownsample
1101	20-24	0.013948991397889188	RMNISTHS_30xdownsample
1101	25-29	0.04039896937815257	RMNISTHS_30xdownsample
1101	30-34	0.04331924913848084	RMNISTHS_30xdownsample
1101	35-39	0.03533568845659474	RMNISTHS_30xdownsample
1101	40-44	0.04016623152750043	RMNISTHS_30xdownsample
1101	45-49	0.030514749136010266	RMNISTHS_30xdownsample
1101	50-54	0.045147399674728916	RMNISTHS_30xdownsample
1101	55-59	0.03915939885965258	RMNISTHS_30xdownsample
1101	60-64	0.03782860898662932	RMNISTHS_30xdownsample
1101	65-69	0.040618733549770525	RMNISTHS_30xdownsample
1101	70-74	0.045197320379926964	RMNISTHS_30xdownsample
1101	75-79	0.055279809260362356	RMNISTHS_30xdownsample
1101	80-84	0.07445625199710904	RMNISTHS_30xdownsample
1101	85-89	0.09371981932638818	RMNISTHS_30xdownsample
1101	90-94	0.10910687245819872	RMNISTHS_30xdownsample
1101	95-99	0.12438901519835355	RMNISTHS_30xdownsample
1101	100-104	0.08204494880597935	RMNISTHS_30xdownsample
1101	105-109	0.10675574277933819	RMNISTHS_30xdownsample
1101	110-114	0.11170586326978338	RMNISTHS_30xdownsample
1101	115-119	0.11483395300600918	RMNISTHS_30xdownsample
1101	120-124	0.11015447305728898	RMNISTHS_30xdownsample
1101	125-129	0.0965197062650347	RMNISTHS_30xdownsample
1101	130-134	0.09899544616282796	RMNISTHS_30xdownsample
1101	135-139	0.10774109642963481	RMNISTHS_30xdownsample
1101	140-144	0.10936132180615488	RMNISTHS_30xdownsample
1101	145-148	0.029206941626743088	RMNISTHS_30xdownsample
1102	1	0.02149280613585347	RMNISTHS_30xdownsample
1102	2	0.048069845061466054	RMNISTHS_30xdownsample
1102	3	0.006659519538789738	RMNISTHS_30xdownsample
1102	4	-0.007407464954166443	RMNISTHS_30xdownsample
1102	5	0.040658470420865456	RMNISTHS_30xdownsample
1102	6	0.0442633149758791	RMNISTHS_30xdownsample
1102	7	0.07932156512077881	RMNISTHS_30xdownsample
1102	8	0.05032963026688719	RMNISTHS_30xdownsample
1102	9	0.1528953926801151	RMNISTHS_30xdownsample
1102	10-14	0.06377901352343684	RMNISTHS_30xdownsample
1102	15-19	0.01851215131682693	RMNISTHS_30xdownsample
1102	20-24	0.012719914107695018	RMNISTHS_30xdownsample
1102	25-29	0.02362152347313895	RMNISTHS_30xdownsample
1102	30-34	0.03471314800678016	RMNISTHS_30xdownsample
1102	35-39	0.012054384308573418	RMNISTHS_30xdownsample
1102	40-44	0.022955187458187254	RMNISTHS_30xdownsample
1102	45-49	0.03697039777432565	RMNISTHS_30xdownsample
1102	50-54	0.01594963970882901	RMNISTHS_30xdownsample
1102	55-59	0.04278168737053534	RMNISTHS_30xdownsample
1102	60-64	0.023166073976526036	RMNISTHS_30xdownsample
1102	65-69	0.03508169452245724	RMNISTHS_30xdownsample
1102	70-74	0.04043916433367656	RMNISTHS_30xdownsample
1102	75-79	0.06335326518398432	RMNISTHS_30xdownsample
1102	80-84	0.08914456389118186	RMNISTHS_30xdownsample
1102	85-89	0.10512105091567392	RMNISTHS_30xdownsample
1102	90-94	0.10500900080579356	RMNISTHS_30xdownsample
1102	95-99	0.12149989515186022	RMNISTHS_30xdownsample
1102	100-104	0.11115046899073278	RMNISTHS_30xdownsample
1102	105-109	0.1134445656076224	RMNISTHS_30xdownsample
1102	110-114	0.12172529918469976	RMNISTHS_30xdownsample
1102	115-119	0.08226260823312259	RMNISTHS_30xdownsample
1102	120-124	0.09829932123042795	RMNISTHS_30xdownsample
1102	125-129	0.12885685188245333	RMNISTHS_30xdownsample
1102	130-134	0.11948572743765595	RMNISTHS_30xdownsample
1102	135-139	0.09926093244693135	RMNISTHS_30xdownsample
1102	140-144	0.06538327347322692	RMNISTHS_30xdownsample
1102	145-148	0.028242365243219325	RMNISTHS_30xdownsample
1103	1	0.047570262506472005	RMNISTHS_30xdownsample
1103	2	0.020940559990499708	RMNISTHS_30xdownsample
1103	3	0.006951092444523965	RMNISTHS_30xdownsample
1103	4	0.001961817796281906	RMNISTHS_30xdownsample
1103	5	0.04593403183675804	RMNISTHS_30xdownsample
1103	6	0.05044964052385836	RMNISTHS_30xdownsample
1103	7	0.02983932231124342	RMNISTHS_30xdownsample
1103	8	0.014273781906183558	RMNISTHS_30xdownsample
1103	9	0.09734142598811246	RMNISTHS_30xdownsample
1103	10-14	0.047062576373971154	RMNISTHS_30xdownsample
1103	15-19	0.020975435958540345	RMNISTHS_30xdownsample
1103	20-24	0.02829126510464164	RMNISTHS_30xdownsample
1103	25-29	0.03846308292451184	RMNISTHS_30xdownsample
1103	30-34	0.03668897685086847	RMNISTHS_30xdownsample
1103	35-39	0.04349849437459952	RMNISTHS_30xdownsample
1103	40-44	0.048243080459734244	RMNISTHS_30xdownsample
1103	45-49	0.06619640864589371	RMNISTHS_30xdownsample
1103	50-54	0.07762980673913944	RMNISTHS_30xdownsample
1103	55-59	0.06981428156092306	RMNISTHS_30xdownsample
1103	60-64	0.05099258846594168	RMNISTHS_30xdownsample
1103	65-69	0.06796010039104416	RMNISTHS_30xdownsample
1103	70-74	0.06444945665580448	RMNISTHS_30xdownsample
1103	75-79	0.07700865383292665	RMNISTHS_30xdownsample
1103	80-84	0.10323549074675498	RMNISTHS_30xdownsample
1103	85-89	0.10197474783370453	RMNISTHS_30xdownsample
1103	90-94	0.08483980413242165	RMNISTHS_30xdownsample
1103	95-99	0.0979161224805658	RMNISTHS_30xdownsample
1103	100-104	0.0961087308889681	RMNISTHS_30xdownsample
1103	105-109	0.08569332834293775	RMNISTHS_30xdownsample
1103	110-114	0.08199185835367828	RMNISTHS_30xdownsample
1103	115-119	0.09519850451417966	RMNISTHS_30xdownsample
1103	120-124	0.1041510019074785	RMNISTHS_30xdownsample
1103	125-129	0.07856493423338407	RMNISTHS_30xdownsample
1103	130-134	0.10008126159514319	RMNISTHS_30xdownsample
1103	135-139	0.12187940052904267	RMNISTHS_30xdownsample
1103	140-144	0.10021249967724088	RMNISTHS_30xdownsample
1103	145-148	0.031141042821911213	RMNISTHS_30xdownsample
1104	1	0.012262852713938344	RMNISTHS_30xdownsample
1104	2	0.02559604915253999	RMNISTHS_30xdownsample
1104	3	-0.001246257435585818	RMNISTHS_30xdownsample
1104	4	0.004916182949294523	RMNISTHS_30xdownsample
1104	5	-0.011355427247927707	RMNISTHS_30xdownsample
1104	6	0.04169013506250607	RMNISTHS_30xdownsample
1104	7	0.02583553293157692	RMNISTHS_30xdownsample
1104	8	0.02733202049063621	RMNISTHS_30xdownsample
1104	9	0.08041138534918346	RMNISTHS_30xdownsample
1104	10-14	0.05435607115231633	RMNISTHS_30xdownsample
1104	15-19	0.03250356395204079	RMNISTHS_30xdownsample
1104	20-24	0.0015780915646388394	RMNISTHS_30xdownsample
1104	25-29	0.01821516975940085	RMNISTHS_30xdownsample
1104	30-34	0.023923930208475497	RMNISTHS_30xdownsample
1104	35-39	0.009454786740896282	RMNISTHS_30xdownsample
1104	40-44	0.025021971856990177	RMNISTHS_30xdownsample
1104	45-49	0.005274106806091083	RMNISTHS_30xdownsample
1104	50-54	0.013725527032285356	RMNISTHS_30xdownsample
1104	55-59	0.011753473173069295	RMNISTHS_30xdownsample
1104	60-64	0.014023188337361603	RMNISTHS_30xdownsample
1104	65-69	0.010683420979010094	RMNISTHS_30xdownsample
1104	70-74	-0.008430791563849738	RMNISTHS_30xdownsample
1104	75-79	0.02222967357804606	RMNISTHS_30xdownsample
1104	80-84	0.04046832061006711	RMNISTHS_30xdownsample
1104	85-89	0.04627220344058003	RMNISTHS_30xdownsample
1104	90-94	0.03923584597939467	RMNISTHS_30xdownsample
1104	95-99	0.04441462406683527	RMNISTHS_30xdownsample
1104	100-104	0.06304988242002452	RMNISTHS_30xdownsample
1104	105-109	0.06574775798013377	RMNISTHS_30xdownsample
1104	110-114	0.03633400829203026	RMNISTHS_30xdownsample
